,Price Groups,1,2,3,4,5,6,7,8,Weight Not Over(lbs.),Price Group,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Price Group—Continued
0,Flat Rate Envelopes (Max. Wt. 4 lbs.),$54.75,$64.30,$75.55,$68.70,$71.60,$73.55,$70.65,$75.55,,,,,,,,,,,,
54,,,,,,,,,,52.0,321.25,249.10,403.85,315.00,329.85,383.05,370.70,483.15,487.25,338.45,
55,,,,,,,,,,53.0,325.85,252.45,410.15,319.80,334.80,389.00,376.50,491.00,495.20,343.75,
56,,,,,,,,,,54.0,330.55,255.85,416.50,324.50,339.75,394.95,382.25,498.95,503.20,348.95,
57,,,,,,,,,,55.0,335.15,259.25,422.85,329.35,344.75,401.05,388.15,506.80,511.20,354.25,
58,,,,,,,,,,56.0,339.75,262.55,429.15,334.05,349.75,407.00,393.90,514.70,519.10,359.50,
59,,,,,,,,,,57.0,344.45,265.95,435.45,338.75,354.70,412.95,399.65,522.55,527.05,364.75,
60,,,,,,,,,,58.0,349.05,269.40,441.85,343.55,359.65,418.90,405.45,530.50,535.00,370.00,
61,,,,,,,,,,59.0,353.80,272.75,448.15,348.25,364.70,424.85,411.20,538.40,543.00,375.25,
62,,,,,,,,,,60.0,358.40,276.10,454.55,353.05,369.60,430.80,417.00,546.25,550.95,380.50,
63,,,,,,,,,,61.0,362.70,279.50,460.35,357.40,374.20,437.60,422.75,554.65,558.40,385.70,
64,,,,,,,,,,62.0,367.30,282.85,466.70,362.15,379.15,443.55,428.50,562.60,566.30,391.00,
65,,,,,,,,,,63.0,372.00,286.20,473.05,366.90,384.15,449.55,434.30,570.45,574.20,396.25,
66,,,,,,,,,,64.0,376.65,289.65,479.35,371.60,389.05,455.60,440.10,578.40,582.20,401.55,
67,,,,,,,,,,65.0,381.30,293.05,485.65,376.40,394.05,461.55,445.90,586.30,590.15,406.75,
68,,,,,,,,,,66.0,385.95,296.40,492.05,381.10,399.00,467.50,451.65,594.15,598.10,412.05,
69,,,,,,,,,,67.0,-,299.75,498.35,385.80,403.90,473.45,457.40,602.05,606.05,417.30,
70,,,,,,,,,,68.0,-,303.15,504.60,390.65,409.00,479.45,463.20,609.95,614.00,422.55,
71,,,,,,,,,,69.0,-,306.50,510.95,395.35,413.95,485.50,468.95,617.85,622.00,427.80,
72,,,,,,,,,,70.0,-,309.85,517.30,400.10,418.85,491.40,474.70,625.80,629.90,433.05,
73,,,,,,,,,,,,12,13,14,15,16,17,18,19,20,11
74,,,,,,,,,,0.5,,$75.00,$78.15,$70.80,$72.35,$72.35,$70.25,$67.90,$87.65,$72.35,$72.15
75,,,,,,,,,,1.0,,78.15,82.35,72.90,75.50,74.45,78.15,70.80,89.60,77.10,74.25
76,,,,,,,,,,2.0,,85.35,87.70,79.95,79.25,77.95,84.20,77.20,96.65,82.30,78.35
77,,,,,,,,,,3.0,,92.45,93.05,86.90,83.05,81.45,90.25,83.60,103.85,87.50,82.50
78,,,,,,,,,,4.0,,99.65,98.40,94.00,86.80,84.95,96.30,90.10,110.95,92.65,88.00
79,,,,,,,,,,5.0,,106.75,103.75,101.00,90.60,88.50,102.35,96.45,118.00,97.80,93.25
80,,,,,,,,,,6.0,,130.75,109.05,108.55,94.35,91.70,107.95,101.20,125.65,101.70,98.40
81,,,,,,,,,,7.0,,139.20,114.45,115.75,98.30,95.10,113.70,105.80,132.75,105.75,103.65
82,,,,,,,,,,8.0,,147.65,119.95,122.90,102.15,98.45,119.45,110.45,139.95,109.75,108.80
83,,,,,,,,,,9.0,,156.10,125.40,130.15,106.00,101.85,125.15,115.20,147.05,113.65,113.95
84,,,,,,,,,,10.0,,164.60,130.85,137.25,109.90,105.25,130.85,119.90,154.20,117.70,119.20
85,,,,,,,,,,11.0,,173.00,136.40,141.35,113.80,109.35,135.65,124.15,162.10,128.15,124.30
86,,,,,,,,,,12.0,,181.55,141.90,148.80,117.65,113.45,140.45,128.35,169.25,132.35,129.55
